,location,month,hours,tracks,maxdsqp_local,maxdsqp_total
1,Inuvik,1,49.69014085,3.056338028,14.11923829,18.34148818
2,Inuvik,2,47.4084507,3.014084507,15.69399958,20.21728775
3,Inuvik,3,54.76056338,3.323943662,13.92252393,19.20009188
4,Inuvik,4,76.09859155,4.042253521,11.41820094,15.66824543
5,Inuvik,5,124.1408451,4.478873239,11.01929598,13.80405294
6,Inuvik,6,136.5633803,4.788732394,10.46581887,12.84059696
7,Inuvik,7,90.8028169,3.647887324,9.791132039,12.37099782
8,Inuvik,8,102,4.38028169,10.00752336,13.29091404
9,Inuvik,9,105.7183099,5.154929577,9.661830973,15.20684185
10,Inuvik,10,87.29577465,5.154929577,11.65535929,18.03819641
11,Inuvik,11,70.35211268,4.112676056,14.00331357,18.10481763
12,Inuvik,12,64.81690141,3.676056338,14.81672932,19.14945028
13,Sachs Harbour,1,94.94366197,3.647887324,8.105859474,13.86489612
14,Sachs Harbour,2,84.38028169,3.408450704,9.051500518,13.96645101
15,Sachs Harbour,3,88.81690141,3.492957746,9.162358443,13.99695104
16,Sachs Harbour,4,76.6056338,3.014084507,8.742262306,13.64259142
17,Sachs Harbour,5,93.29577465,3.661971831,8.656241263,12.47304532
18,Sachs Harbour,6,107.6619718,4.070422535,8.633137217,11.9487005
19,Sachs Harbour,7,108.4647887,3.845070423,8.676315389,11.97388904
20,Sachs Harbour,8,150.6338028,5,8.925852484,12.62767688
21,Sachs Harbour,9,138.6760563,4.718309859,8.504463019,13.2316296
22,Sachs Harbour,10,126.7605634,4.577464789,9.299519931,15.15825503
23,Sachs Harbour,11,118.7746479,3.929577465,9.088367269,14.1949111
24,Sachs Harbour,12,114,4.070422535,10.2409568,15.26330609
25,Cambridge Bay,1,118.0140845,4.084507042,7.296958949,14.11835945
26,Cambridge Bay,2,89.66197183,3.549295775,7.294827445,12.55205724
27,Cambridge Bay,3,125.8309859,4.098591549,7.878414271,13.04953681
28,Cambridge Bay,4,132,4.323943662,8.838005241,13.36786814
29,Cambridge Bay,5,132.7605634,4.577464789,9.189781641,13.34923008
30,Cambridge Bay,6,149.4084507,4.633802817,9.159172479,12.33560745
31,Cambridge Bay,7,138.2957746,4.323943662,9.792673035,13.14376341
32,Cambridge Bay,8,180.7605634,5.492957746,9.520166637,12.86467088
33,Cambridge Bay,9,167.6619718,5.014084507,9.134798752,13.32164001
34,Cambridge Bay,10,187.0140845,5.690140845,8.507133927,14.11819979
35,Cambridge Bay,11,170.6619718,5.197183099,8.860296009,15.44290847
36,Cambridge Bay,12,138.8028169,4.464788732,7.34919543,14.49384095
37,Resolute Bay,1,122.4507042,4.61971831,11.9040127,16.77224078
38,Resolute Bay,2,92.49295775,3.830985915,11.94806377,16.58360503
39,Resolute Bay,3,120.8028169,4.23943662,11.40344545,16.31495033
40,Resolute Bay,4,113.8732394,3.577464789,10.08291816,14.76678303
41,Resolute Bay,5,139.6056338,4.070422535,9.647381986,13.89256878
42,Resolute Bay,6,151.8591549,4.056338028,8.776873593,12.30856035
43,Resolute Bay,7,154.1408451,4.309859155,9.666273626,13.04242127
44,Resolute Bay,8,188.8309859,5.183098592,9.326253989,13.09589657
45,Resolute Bay,9,167.4084507,4.492957746,9.462722035,13.93802198
46,Resolute Bay,10,185.2394366,5.323943662,10.64055528,15.51276897
47,Resolute Bay,11,155.1971831,5.042253521,11.75657286,16.93336562
48,Resolute Bay,12,135.1690141,4.830985915,10.85827275,16.9541536
49,Alert,1,92.36619718,4.295774648,15.14008773,18.6473904
50,Alert,2,91.6056338,4.408450704,14.29875449,18.16802512
51,Alert,3,81.92957746,3.61971831,14.42479855,18.89468921
52,Alert,4,78.97183099,3.14084507,12.67855616,16.18668079
53,Alert,5,85.22535211,3.323943662,10.8248133,13.97894948
54,Alert,6,83.23943662,3.028169014,7.058740204,11.94530249
55,Alert,7,107.7887324,3.732394366,7.959328651,12.38652965
56,Alert,8,113.6197183,3.802816901,8.426412707,12.40098905
57,Alert,9,114.3380282,4.281690141,9.791422301,15.13418961
58,Alert,10,118.0140845,4.647887324,12.23201152,16.06251892
59,Alert,11,113.3661972,4.873239437,13.22519986,18.32232812
60,Alert,12,89.45070423,4.225352113,14.42881622,18.20282222
61,Eureka,1,96.88732394,4.211267606,13.70385019,18.08218417
62,Eureka,2,88.94366197,4.070422535,12.83163598,16.7254743
63,Eureka,3,97.98591549,3.732394366,12.96266589,16.93455616
64,Eureka,4,88.85915493,3.014084507,11.47886285,15.26065495
65,Eureka,5,106.4366197,3.464788732,10.20680745,14.11393328
66,Eureka,6,111.2535211,3.38028169,8.161342036,12.05752033
67,Eureka,7,135.6338028,3.816901408,9.517818811,12.46390638
68,Eureka,8,149.4084507,4.098591549,9.376814674,12.57276731
69,Eureka,9,143.915493,4.197183099,9.797417312,13.86544829
70,Eureka,10,148.3943662,4.591549296,11.42683913,16.24572652
71,Eureka,11,134.2816901,4.718309859,12.38252559,17.19877094
72,Eureka,12,109.943662,4.211267606,13.1500198,17.40225852
73,Hall Beach,1,176.4929577,5.422535211,12.64765839,18.12158903
74,Hall Beach,2,146.1126761,4.746478873,11.82121587,16.57344392
75,Hall Beach,3,157.9014085,4.690140845,11.29780149,16.21140434
76,Hall Beach,4,170.915493,4.929577465,10.97289074,15.81931873
77,Hall Beach,5,209.3661972,5.605633803,10.01024278,14.46216978
78,Hall Beach,6,204.971831,5.028169014,9.336703597,12.9390434
79,Hall Beach,7,190.5633803,4.85915493,10.32375529,13.91727593
80,Hall Beach,8,224.2394366,5.732394366,9.883987013,13.85099882
81,Hall Beach,9,205.8591549,5.394366197,10.45274914,15.20735277
82,Hall Beach,10,239.4929577,6.366197183,10.70937187,16.27021532
83,Hall Beach,11,217.8169014,6.366197183,13.00120156,18.58347675
84,Hall Beach,12,186.4225352,5.38028169,11.75407626,17.35286991
85,Pond Inlet,1,138.1267606,4.901408451,14.95256786,19.86559719
86,Pond Inlet,2,111.0422535,4.042253521,15.71715394,19.37544908
87,Pond Inlet,3,116.4507042,4.042253521,13.49699678,17.80795746
88,Pond Inlet,4,129.971831,4.098591549,12.09903898,16.26156771
89,Pond Inlet,5,166.6478873,4.76056338,10.92756438,14.68944672
90,Pond Inlet,6,157.2253521,4.323943662,9.301627168,13.21147706
91,Pond Inlet,7,147.4225352,4.23943662,10.27964098,13.92751285
92,Pond Inlet,8,174.971831,4.830985915,9.904897365,13.82379201
93,Pond Inlet,9,168.1267606,4.352112676,10.78129172,15.12064576
94,Pond Inlet,10,220.5211268,5.774647887,11.64638674,16.3442847
95,Pond Inlet,11,192.8873239,5.563380282,15.0011149,19.70908413
96,Pond Inlet,12,150.8028169,4.830985915,14.88667992,19.07949196
97,Clyde River,1,143.4507042,4.943661972,17.25380201,21.93544243
98,Clyde River,2,123.3802817,4.408450704,17.23168008,21.38359408
99,Clyde River,3,124.4366197,4.521126761,15.22753978,19.72236437
100,Clyde River,4,132.8450704,4.323943662,12.77425642,17.43443961
101,Clyde River,5,164.1971831,5.056338028,11.26614338,15.31691397
102,Clyde River,6,153.3380282,4.267605634,9.675973359,13.75628647
103,Clyde River,7,136.4366197,4.028169014,10.38688097,14.74920027
104,Clyde River,8,174.5492958,4.943661972,10.28461592,14.29717243
105,Clyde River,9,176.1971831,4.394366197,11.67703708,16.92747719
106,Clyde River,10,218.9577465,5.450704225,12.68307229,17.21368545
107,Clyde River,11,196.3098592,5.887323944,15.84818739,20.55800651
